id,name,mass (g),fall,year,GeoLocation
56,Acfer 046,1066,Found,1989,"(27.78333, 4.7)"
57,Acfer 047,1440,Found,1989,"(27.83333, 4.7)"
58,Acfer 048,115,Found,1989,"(27.55, 4.08333)"
59,Acfer 049,82.9,Found,1989,"(27.41667, 3.71667)"
60,Acfer 050,1394,Found,1989,"(27.65, 4.5)"
61,Acfer 051,905,Found,1989,"(27.61667, 4.41667)"
62,Acfer 052,58,Found,1989,"(27.75, 4.15)"
63,Acfer 053,1937,Found,1989,"(27.73333, 4.05)"
64,Acfer 054,2051,Found,1989,"(27.7, 3.93333)"
65,Acfer 055,1338,Found,1989,"(27.5, 3.98333)"
66,Acfer 056,129,Found,1989,"(27.46667, 3.88333)"
67,Acfer 058,277,Found,1989,"(27.38333, 3.71667)"
68,Acfer 059,281,Found,1989,"(27.51667, 4.06667)"
69,Acfer 060,226,Found,1989,"(27.56667, 4.16667)"
70,Acfer 061,105,Found,1989,"(27.6, 4.25)"
71,Acfer 062,283,Found,1989,"(27.6, 4.41667)"
72,Acfer 063,716,Found,1989,"(27.61667, 4.56667)"
73,Acfer 064,854,Found,1989,"(27.61667, 4.56667)"
74,Acfer 065,1539,Found,1989,"(27.5, 4.28333)"
75,Acfer 066,517,Found,1990,"(27.63333, 4.06667)"
76,Acfer 067,383,Found,1990,"(27.71667, 4.78333)"
77,Acfer 068,1805,Found,1990,"(27.55, 3.7)"
78,Acfer 069,941,Found,1990,"(27.53333, 3.83333)"
79,Acfer 070,138,Found,1990,"(27.68333, 4.48333)"
80,Acfer 071,1379,Found,1990,"(27.63333, 4.28333)"
81,Acfer 072,162,Found,1990,"(27.63333, 4.25)"
82,Acfer 073,2010,Found,1990,"(27.53333, 3.85)"
83,Acfer 074,384,Found,1990,"(27.48333, 3.83333)"
84,Acfer 075,1453,Found,1990,"(27.51667, 3.73333)"
85,Acfer 076,183,Found,1990,"(27.7, 4.35)"
86,Acfer 077,2538,Found,1990,"(27.63333, 4.51667)"
87,Acfer 078,105,Found,1990,"(27.56667, 4.15)"
88,Acfer 079,387,Found,1990,"(27.5, 3.68333)"
89,Acfer 080,574,Found,1990,"(27.63333, 4.51667)"
90,Acfer 081,110,Found,1990,"(27.53333, 3.86667)"
91,Acfer 082,208,Found,1990,"(27.5, 3.48333)"
92,Acfer 083,690,Found,1990,"(27.48333, 3.63333)"
93,Acfer 084,6300,Found,1990,"(27.55, 3.86667)"
94,Acfer 085,293,Found,1990,"(27.58333, 3.95)"
95,Acfer 086,173,Found,1990,"(27.66667, 4.18333)"
96,Acfer 087,163,Found,1990,"(27.7, 4.26667)"
97,Acfer 088,200,Found,1990,"(27.75, 4.43333)"
98,Acfer 089,682,Found,1990,"(27.63333, 4.3)"
99,Acfer 090,290,Found,1990,"(27.5, 3.83333)"
100,Acfer 091,3487,Found,1990,"(27.45, 4.11667)"
101,Acfer 092,244,Found,1990,"(27.66667, 4.51667)"
102,Acfer 093,420,Found,1990,"(27.71667, 4.13333)"
103,Acfer 094,82,Found,1990,"(27.73333, 4.43333)"
104,Acfer 095,104,Found,1990,"(27.71667, 4.38333)"
105,Acfer 096,572,Found,1990,"(27.61667, 4.2)"
106,Acfer 097,63,Found,1990,"(27.51667, 3.96667)"
107,Acfer 098,5500,Found,1990,"(27.46667, 3.88333)"
108,Acfer 099,313,Found,1990,"(27.45, 3.83333)"
109,Acfer 100,140,Found,1990,"(27.46667, 3.95)"
110,Acfer 101,452,Found,1990,"(27.53333, 4.16667)"
111,Acfer 102,346,Found,1990,"(27.66667, 4.46667)"
112,Acfer 103,665,Found,1990,"(27.8, 4.5)"
113,Acfer 104,992,Found,1990,"(27.63333, 4.36667)"
114,Acfer 105,392,Found,1990,"(27.55, 4.13333)"
115,Acfer 106,1390,Found,1990,"(27.5, 3.9)"
116,Acfer 107,105,Found,1990,"(27.45, 3.75)"
117,Acfer 108,828,Found,1990,"(27.5, 3.88333)"
118,Acfer 109,236,Found,1990,"(27.55, 3.76667)"
119,Acfer 110,107,Found,1990,"(27.48333, 3.8)"
120,Acfer 111,987,Found,1990,"(27.48333, 3.8)"
121,Acfer 112,216,Found,1990,"(27.65, 4.03333)"
122,Acfer 113,2906,Found,1990,"(27.56667, 4.03333)"
123,Acfer 114,43,Found,1990,"(27.6, 3.96667)"
124,Acfer 115,287,Found,1990,"(27.73333, 4.16667)"
125,Acfer 116,345,Found,1990,"(27.73333, 4.16667)"
126,Acfer 117,178,Found,1990,"(27.73333, 4.2)"
127,Acfer 118,752,Found,1990,"(27.66667, 4.2)"
128,Acfer 119,121,Found,1990,"(27.65, 4.23333)"
129,Acfer 120,861,Found,1990,"(27.65, 4.3)"
130,Acfer 121,427,Found,1990,"(27.68333, 4.33333)"
131,Acfer 122,235,Found,1990,"(27.5, 3.66667)"
132,Acfer 123,452,Found,1990,"(27.46667, 3.76667)"
133,Acfer 124,542,Found,1990,"(27.6, 4.05)"
134,Acfer 125,3380,Found,1990,"(27.68333, 4.35)"
135,Acfer 126,280,Found,1990,"(27.51667, 3.8)"
136,Acfer 127,699,Found,1990,"(27.7, 4.3)"
137,Acfer 128,163,Found,1990,"(27.5, 4.3)"
138,Acfer 129,162,Found,1990,"(27.6, 4.2)"
139,Acfer 130,400,Found,1990,"(27.58333, 4.0)"
140,Acfer 131,171,Found,1990,"(27.58333, 3.96667)"
141,Acfer 132,1621,Found,1990,"(27.5, 3.76667)"
142,Acfer 133,362,Found,1990,"(27.5, 3.83333)"
143,Acfer 134,1161,Found,1990,"(27.76667, 4.53333)"
144,Acfer 135,124,Found,1990,"(27.55, 4.03333)"
145,Acfer 136,324,Found,1990,"(27.46667, 4.05)"
146,Acfer 137,106,Found,1990,"(27.58333, 4.08333)"
147,Acfer 138,941,Found,1990,"(27.66667, 4.08333)"
148,Acfer 139,143,Found,1990,"(27.56667, 4.08333)"
149,Acfer 140,171,Found,1990,"(27.56667, 4.08333)"
150,Acfer 141,58,Found,1990,"(27.58333, 3.85)"
151,Acfer 142,91,Found,1990,"(27.56667, 4.35)"
152,Acfer 143,417,Found,1990,"(27.66667, 4.45)"
153,Acfer 144,186,Found,1990,"(27.66667, 4.28333)"
154,Acfer 145,869,Found,1990,"(27.66667, 4.28333)"
155,Acfer 146,200,Found,1990,"(27.63333, 4.08333)"
156,Acfer 147,140,Found,1990,"(27.6, 4.11667)"
157,Acfer 148,157,Found,1990,"(27.58333, 4.06667)"
158,Acfer 149,394,Found,1990,"(27.58333, 4.05)"
159,Acfer 150,251,Found,1990,"(27.56667, 3.81667)"
160,Acfer 151,218,Found,1990,"(27.46667, 3.71667)"
161,Acfer 152,157,Found,1990,"(27.43333, 3.75)"
162,Acfer 153,211,Found,1990,"(27.53333, 3.95)"
163,Acfer 154,95,Found,1990,"(27.55, 4.01667)"
164,Acfer 155,206,Found,1990,"(27.66667, 4.25)"
165,Acfer 156,240,Found,1990,"(27.66667, 4.23333)"
166,Acfer 157,1072,Found,1990,"(27.66667, 4.23333)"
167,Acfer 158,422,Found,1990,"(27.66667, 4.21667)"
168,Acfer 159,123,Found,1990,"(27.5, 3.93333)"
169,Acfer 160,433,Found,1990,"(27.46667, 3.71667)"
170,Acfer 161,604,Found,1990,"(27.75, 4.43333)"
171,Acfer 162,1281,Found,1990,"(27.66667, 4.01667)"
172,Acfer 163,125,Found,1990,"(27.7, 4.35)"
173,Acfer 164,43,Found,1990,"(27.53333, 4.18333)"
174,Acfer 165,84,Found,1990,"(27.56667, 4.33333)"
175,Acfer 166,2476,Found,1990,"(27.51667, 4.23333)"
176,Acfer 167,157,Found,1990,"(27.51667, 4.0)"
177,Acfer 168,211,Found,1990,"(27.6, 3.98333)"
178,Acfer 169,559,Found,1990,"(27.73333, 4.11667)"
179,Acfer 171,313,Found,1990,"(27.65, 4.25)"
180,Acfer 172,766,Found,1990,"(27.66667, 4.16667)"
181,Acfer 173,262,Found,1990,"(27.65, 4.03333)"
182,Acfer 174,127,Found,1990,"(27.48333, 3.86667)"
183,Acfer 175,153,Found,1990,"(27.48333, 3.85)"
184,Acfer 176,320,Found,1990,"(27.48333, 3.85)"
185,Acfer 177,721,Found,1990,"(27.48333, 3.85)"
186,Acfer 178,488,Found,1990,"(27.48333, 3.75)"
187,Acfer 179,163,Found,1990,"(27.46667, 3.75)"
188,Acfer 180,103,Found,1990,"(27.6, 4.16667)"
189,Acfer 181,245,Found,1990,"(27.66667, 4.2)"
190,Acfer 182,166,Found,1990,"(27.7, 4.35)"
191,Acfer 183,114,Found,1990,"(27.58333, 4.16667)"
192,Acfer 184,311,Found,1990,"(27.56667, 4.01667)"
193,Acfer 185,109,Found,1990,"(27.53333, 3.83333)"
194,Acfer 186,315,Found,1990,"(27.46667, 3.86667)"
195,Acfer 187,234,Found,1990,"(27.46667, 3.9)"
196,Acfer 188,252,Found,1990,"(27.58333, 4.11667)"
197,Acfer 189,53,Found,1990,"(27.6, 4.18333)"
198,Acfer 190,4439,Found,1990,"(27.7, 4.3)"
199,Acfer 191,188,Found,1990,"(27.7, 4.3)"
200,Acfer 192,219,Found,1990,"(27.65, 4.2)"
201,Acfer 193,157,Found,1990,"(27.56667, 3.95)"
202,Acfer 194,361,Found,1991,"(27.49944, 3.68889)"
203,Acfer 195,233,Found,1991,"(27.52472, 3.81139)"
204,Acfer 196,29,Found,1991,"(27.57694, 4.03389)"
205,Acfer 197,115,Found,1991,"(27.55583, 4.14)"
206,Acfer 198,267,Found,1991,"(27.51694, 3.79139)"
207,Acfer 199,215,Found,1991,"(27.48028, 3.85139)"
208,Acfer 200,1301,Found,1991,"(27.50194, 3.92111)"
209,Acfer 201,55,Found,1991,"(27.59222, 3.91806)"
210,Acfer 202,389,Found,1991,"(27.50889, 4.60167)"
211,Acfer 203,292,Found,1991,"(27.57806, 4.36917)"
212,Acfer 204,64,Found,1991,"(27.64639, 3.98306)"
213,Acfer 205,746,Found,1991,"(27.7375, 4.32806)"
214,Acfer 206,1229,Found,1991,"(27.69083, 4.37861)"
215,Acfer 207,105,Found,1991,"(27.68806, 4.37194)"
216,Acfer 208,510,Found,1991,"(27.50472, 3.88194)"
217,Acfer 209,475,Found,1991,"(27.50472, 3.88194)"
218,Acfer 210,720,Found,1991,"(27.49722, 3.87028)"
219,Acfer 211,1009,Found,1991,"(27.46472, 3.78167)"
220,Acfer 212,1340,Found,1991,"(27.61278, 3.71361)"
221,Acfer 213,526,Found,1991,"(27.68111, 4.30694)"
222,Acfer 214,612,Found,1991,"(27.69, 4.37861)"
223,Acfer 215,107,Found,1991,"(27.64028, 4.17056)"
224,Acfer 216,293,Found,1991,"(27.59972, 4.90361)"
225,Acfer 217,174,Found,1991,"(27.59444, 3.88583)"
226,Acfer 218,114,Found,1991,"(27.54472, 3.74306)"
227,Acfer 219,2611,Found,1991,"(27.52139, 3.79139)"
228,Acfer 220,117,Found,1991,"(27.52417, 3.79694)"
229,Acfer 221,812,Found,1991,"(27.5325, 3.81361)"
230,Acfer 222,334,Found,1991,"(27.54194, 3.82778)"
231,Acfer 223,1398,Found,1991,"(27.54194, 3.82778)"
232,Acfer 224,85,Found,1991,"(27.63889, 3.93444)"
233,Acfer 225,255,Found,1991,"(27.64528, 3.94389)"
234,Acfer 226,221,Found,1991,"(27.68444, 3.99389)"
235,Acfer 227,78,Found,1991,"(27.66861, 4.425)"
236,Acfer 228,2285,Found,1991,"(27.57389, 4.11972)"
237,Acfer 229,325,Found,1991,"(27.82611, 4.24611)"
238,Acfer 230,69,Found,1991,"(27.74056, 4.30833)"
239,Acfer 231,218,Found,1991,"(27.73472, 4.31611)"
240,Acfer 232,725,Found,1991,"(27.73944, 4.32833)"
241,Acfer 233,242,Found,1991,"(27.71722, 4.44806)"
242,Acfer 234,621,Found,1991,"(27.50111, 4.09861)"
243,Acfer 235,461,Found,1991,"(27.51889, 4.01667)"
244,Acfer 236,81,Found,1991,"(27.51056, 3.89111)"
245,Acfer 237,673,Found,1991,"(27.49167, 3.83278)"
246,Acfer 238,311,Found,1991,"(27.50361, 3.67306)"
247,Acfer 239,160,Found,1991,"(27.48444, 3.66639)"
248,Acfer 240,342,Found,1991,"(27.49833, 3.69444)"
249,Acfer 241,86,Found,1991,"(27.51583, 3.72722)"
250,Acfer 242,318,Found,1991,"(27.52111, 3.77333)"
252,Acfer 244,2045,Found,1991,"(27.52472, 3.80972)"
253,Acfer 245,75,Found,1991,"(27.56389, 3.92639)"
254,Acfer 246,923,Found,1991,"(27.69222, 3.32167)"
255,Acfer 247,60,Found,1991,"(27.63611, 4.03139)"
256,Acfer 248,402,Found,1991,"(27.63556, 4.02528)"
257,Acfer 249,99,Found,1991,"(27.62167, 3.95361)"
258,Acfer 250,382,Found,1991,"(27.55139, 3.74194)"
259,Acfer 251,202,Found,1991,"(27.50972, 3.88056)"
260,Acfer 252,146,Found,1991,"(27.51111, 3.88444)"
261,Acfer 253,47,Found,1991,"(27.51361, 3.89694)"
262,Acfer 254,99,Found,1991,"(27.52222, 3.94694)"
263,Acfer 255,124,Found,1991,"(27.64611, 4.39722)"
264,Acfer 256,235,Found,1991,"(27.64611, 4.39722)"
265,Acfer 257,75,Found,1991,"(27.68528, 4.50333)"
266,Acfer 258,212,Found,1991,"(27.67056, 4.34611)"
267,Acfer 259,114,Found,1991,"(27.52444, 3.87361)"
268,Acfer 260,177,Found,1991,"(27.47556, 3.71028)"
269,Acfer 261,73,Found,1991,"(27.70917, 4.42083)"
270,Acfer 262,92,Found,1991,"(27.67, 4.49722)"
271,Acfer 263,438,Found,1991,"(27.69111, 4.3375)"
272,Acfer 264,243,Found,1991,"(27.69472, 4.30639)"
273,Acfer 265,83,Found,1991,"(27.715, 4.19278)"
274,Acfer 266,518,Found,1991,"(27.72722, 4.17056)"
275,Acfer 267,229,Found,1991,"(27.51056, 3.71306)"
276,Acfer 268,764,Found,1991,"(27.51389, 3.87528)"
277,Acfer 269,276,Found,1991,"(27.51472, 3.86556)"
278,Acfer 270,298,Found,1991,"(27.51861, 3.85722)"
279,Acfer 271,237,Found,1991,"(27.56111, 4.05556)"
280,Acfer 272,63,Found,1991,"(27.57028, 4.075)"
281,Acfer 273,2110,Found,1991,"(27.62194, 4.45556)"
282,Acfer 274,203,Found,1991,"(27.63389, 4.18722)"
283,Acfer 275,429,Found,1991,"(27.63361, 4.17306)"
284,Acfer 276,99,Found,1991,"(27.63972, 4.14528)"
285,Acfer 277,41,Found,1991,"(27.63917, 4.14278)"
286,Acfer 278,72,Found,1991,"(27.63861, 4.12722)"
287,Acfer 279,96,Found,1991,"(27.64278, 4.06889)"
288,Acfer 280,177,Found,1991,"(27.53528, 3.91278)"
289,Acfer 281,165,Found,1991,"(27.54222, 3.88444)"
290,Acfer 282,67,Found,1991,"(27.65444, 4.27528)"
291,Acfer 283,187,Found,1991,"(27.70056, 4.22944)"
292,Acfer 284,120,Found,1991,"(27.70611, 4.20583)"
293,Acfer 285,69,Found,1991,"(27.63139, 4.10722)"
294,Acfer 286,407,Found,1991,"(27.79472, 4.16722)"
295,Acfer 287,59,Found,1992,"(27.61667, 4.19056)"
296,Acfer 288,55,Found,1992,"(27.59139, 3.98806)"
297,Acfer 289,76,Found,1992,"(27.47417, 3.86417)"
298,Acfer 290,213,Found,1992,"(27.54528, 4.04861)"
299,Acfer 291,261,Found,1992,"(27.70806, 4.24806)"
300,Acfer 292,432,Found,1992,"(27.71861, 4.48611)"
301,Acfer 293,198,Found,1992,"(27.66583, 4.19056)"
302,Acfer 294,457,Found,1992,"(27.64972, 4.01194)"
303,Acfer 295,217,Found,1992,"(27.48333, 3.91556)"
304,Acfer 296,121,Found,1992,"(27.58278, 4.0)"
305,Acfer 297,43,Found,1992,"(27.63361, 4.04139)"
306,Acfer 298,2000,Found,1992,"(27.70917, 4.17444)"
307,Acfer 299,180,Found,1992,"(27.6825, 4.42028)"
308,Acfer 300,270,Found,1992,"(27.59028, 4.15194)"
309,Acfer 301,162,Found,1992,"(27.52722, 3.89806)"
310,Acfer 302,95,Found,1992,"(27.58694, 3.96417)"
311,Acfer 303,83,Found,1992,"(27.60222, 3.98528)"
312,Acfer 304,60,Found,1992,"(27.62361, 4.02556)"
313,Acfer 305,369,Found,1992,"(27.68722, 4.18361)"
314,Acfer 306,129,Found,1992,"(27.42889, 3.82)"
315,Acfer 307,520,Found,1992,"(27.49083, 3.89778)"
316,Acfer 308,74,Found,1992,"(27.55972, 4.01028)"
317,Acfer 309,185,Found,1992,"(27.64556, 4.20444)"
318,Acfer 310,169,Found,1992,"(27.68361, 4.25306)"
319,Acfer 311,120,Found,1992,"(27.50806, 3.84417)"
320,Acfer 312,364,Found,1992,"(27.57861, 3.96889)"
321,Acfer 313,78,Found,1992,"(27.60056, 3.99556)"
322,Acfer 314,169,Found,1992,"(27.66389, 4.09806)"
323,Acfer 315,506,Found,1992,"(27.69972, 4.18611)"
324,Acfer 316,126,Found,1992,"(27.6875, 4.245)"
325,Acfer 317,878,Found,1992,"(27.59278, 4.40139)"
326,Acfer 318,292,Found,1992,"(27.55028, 3.99806)"
327,Acfer 319,2393,Found,1992,"(27.55194, 3.81611)"
328,Acfer 320,167,Found,1992,"(27.46056, 3.88806)"
329,Acfer 321,157,Found,2001,"(27.5455, 4.06117)"
330,Acfer 322,25,Found,2001,"(27.55917, 4.093)"
331,Acfer 323,117,Found,2001,"(27.503, 3.8795)"
332,Acfer 325,32,Found,1989,"(27.5, 3.61667)"
333,Acfer 326,139,Found,1989,"(27.5, 3.61667)"
334,Acfer 327,745.22,Found,2001,"(27.73333, 4.43333)"
335,Acfer 328,180.07,Found,2001,"(27.73333, 4.21667)"
336,Acfer 329,30000,Found,2001,"(27.58333, 4.1)"
337,Acfer 330,490,Found,2001,"(27.65, 4.03333)"
338,Acfer 331,750,Found,2001,"(27.58333, 4.01667)"
339,Acfer 332,115.02,Found,2001,"(27.73333, 4.13333)"
340,Acfer 333,489,Found,2001,"(27.56667, 4.06667)"
341,Acfer 334,211.25,Found,2002,"(27.65, 4.38333)"
342,Acfer 335,261,Found,2002,"(27.73333, 4.43333)"
343,Acfer 336,19400,Found,2002,"(27.61667, 4.06667)"
344,Acfer 337,360,Found,2002,"(27.68333, 4.26667)"
345,Acfer 338,377.6,Found,2002,"(27.71667, 4.26667)"
346,Acfer 339,400,Found,2002,"(27.55, 4.2)"
347,Acfer 340,173.15,Found,2002,"(27.58333, 4.3)"
348,Acfer 342,1276,Found,2002,"(27.59056, 4.66278)"
349,Acfer 343,140,Found,2002,"(27.619722, 4.265)"
350,Acfer 344,410,Found,2002,"(27.73333, 4.19833)"
351,Acfer 345,53,Found,2002,"(27.46472, 3.81417)"
352,Acfer 346,546,Found,2002,"(27.59056, 4.66278)"
353,Acfer 347,1165,Found,2001,"(27.68333, 4.3)"
354,Acfer 348,8750,Found,2001,"(27.97933, 4.27817)"
355,Acfer 349,298,Found,2001,"(27.84067, 4.31433)"
356,Acfer 350,128,Found,2001,"(27.672, 4.52633)"
357,Acfer 351,211,Found,2001,"(27.7, 4.13333)"
358,Acfer 352,873,Found,2001,"(27.76667, 4.01667)"
359,Acfer 353,11935,Found,2001,"(27.48917, 3.89)"
360,Acfer 354,252,Found,2001,"(27.5005, 3.88233)"
361,Acfer 355,161,Found,2002,"(27.58967, 3.781)"
362,Acfer 356,120,Found,2002,"(27.61233, 4.5285)"
363,Acfer 357,62,Found,2001,"(27.50083, 4.87467)"
364,Acfer 358,70,Found,2002,"(27.76667, 4.41667)"
365,Acfer 359,67,Found,2002,"(27.7, 4.48333)"
366,Acfer 361,138,Found,2002,"(27.42958, 3.87135)"
367,Acfer 362,242.8,Found,2002,"(27.4778, 3.70165)"
368,Acfer 363,389.9,Found,2002,"(27.58163, 4.29388)"
369,Achilles,16000,Found,1924,"(39.77667, -100.81333)"
370,Achiras,780,Fell,1902,"(-33.16667, -64.95)"
371,Acme,75000,Found,1947,"(33.63333, -104.26667)"
372,Acomita,3956,Found,1962,"(35.05, -107.56667)"
373,Acuña,217700,Found,1981,"(29.31667, -100.96667)"
374,Adalia,1,Found,1883,"(36.9, 30.68333)"
375,Adams County,5700,Found,1928,"(39.96667, -103.76667)"
376,ad-Dahbubah,90000,Found,1961,"(19.83333, 51.25)"
377,Adelaide,2031,Found,1972,NA
378,Adelie Land,1000,Found,1912,"(-67.18333, 142.38333)"
379,Adhi Kot,4239,Fell,1919,"(32.1, 71.8)"
380,Admire,180000,Found,1881,"(38.7, -96.1)"
381,Adrar 001,1917,Found,1990,"(28.05, 0.16667)"
382,Adrar 002,407,Found,1990,"(27.81667, 0.13333)"
383,Adrar 003,287,Found,1990,"(27.13333, 0.2)"
384,Adrar Bous,360,Found,2001,"(20.5, 9.0)"
385,Adrar Madet,1113,Found,1997,"(18.5, 10.4)"
386,Adrar Madet 002,2200,Found,2002,"(18.61042, 10.4941)"
387,Adrar Yaouelt,2730,Found,2002,"(17.67987, 10.03503)"
388,Adrian,22600,Found,1936,"(35.15, -102.71667)"
389,Adzhi-Bogdo (iron),582000,Found,1952,"(44.86667, 95.41667)"
390,Adzhi-Bogdo (stone),910,Fell,1949,"(44.83333, 95.16667)"
392,Agen,30000,Fell,1814,"(44.21667, 0.61667)"
393,Aggie Creek,43000,Found,1942,"(64.88333, -163.16667)"
395,Agoult,82,Found,2000,"(30.55, -4.9)"
397,Agua Blanca,49000,Found,1938,"(-28.91667, -66.95)"
398,Aguada,1620,Fell,1930,"(-31.6, -65.23333)"
399,Aguas Calientes,260.1,Found,1971,"(-25.5, -68.4)"
400,Aguemour 001,896,Found,1990,"(26.96667, 4.45)"
401,Aguemour 002,236,Found,1990,"(26.96667, 4.4)"
402,Aguemour 003,809,Found,1990,"(27.36667, 4.5)"
403,Aguemour 004,1137,Found,1990,"(27.33333, 4.5)"
404,Aguemour 005,859,Found,1991,"(27.43583, 4.63861)"
405,Aguemour 006,435,Found,1992,"(27.57639, 4.52528)"
406,Aguemour 007,334,Found,1992,"(27.50778, 4.60167)"
407,Aguemour 008,79,Found,1992,"(27.47889, 4.19806)"
408,Aguemour 009,1446,Found,1992,"(27.42861, 4.12417)"
409,Aguemour 010,367,Found,1993,"(27.36056, 4.94472)"
410,Aguemour 011,207,Found,1993,"(27.35028, 4.2025)"
411,Aguemour 012,347,Found,1993,"(27.5175, 4.19111)"
412,Aguemour 013,364,Found,1993,"(27.56972, 4.52556)"
413,Aguemour 014,167,Found,1993,"(27.57806, 4.3225)"
414,Aguemour 015,1106,Found,1993,"(27.50972, 4.16111)"
415,Aguemour 016,177,Found,1993,"(27.59167, 4.31694)"
416,Aguemour 017,1000,Found,2001,"(27.4, 4.35)"
417,Aguila Blanca,1440,Fell,1920,"(-30.86667, -64.55)"
419,Ahumada,52600,Found,1909,"(30.7, -105.5)"
421,Aiken,956,Found,1936,"(34.2, -101.5)"
422,Ainsworth,80650,Found,1907,"(42.6, -99.8)"
423,Aioun el Atrouss,1000,Fell,1974,"(16.39806, -9.57028)"
424,Aïr,24000,Fell,1925,"(19.08333, 8.38333)"
425,Aire-sur-la-Lys,NA,Fell,1769,"(50.66667, 2.33333)"
426,Akaba,779,Fell,1949,"(29.51667, 35.05)"
427,Akbarpur,1800,Fell,1838,"(29.71667, 77.95)"
428,Akhricha,1760,Found,1968,"(28.4625, 1.025)"
429,Akmolla,114,Found,1988,"(39.53833, 59.55833)"
430,Akron (1940),1050,Found,1940,"(40.15, -103.16667)"
431,Akron (1961),4000,Found,1961,"(40.15, -103.16667)"
432,Akwanga,3000,Fell,1959,"(8.91667, 8.43333)"
433,Akyumak,50000,Fell,1981,"(39.91667, 42.81667)"
434,Al Huqf 001,41.5,Found,2000,"(19.42, 57.18833)"
435,Al Huqf 002,81.4,Found,2000,"(19.27167, 57.38667)"
436,Al Huqf 003,115.42,Found,2002,"(19.50695, 57.11952)"
437,Al Huqf 004,260.22,Found,2002,"(19.54482, 57.09807)"
438,Al Huqf 005,763.29,Found,2002,"(19.84057, 57.00848)"
439,Al Huqf 006,1861.21,Found,2002,"(19.84067, 57.00842)"
440,Al Huqf 007,1042.7,Found,2002,"(19.84128, 57.00953)"
441,Al Huqf 008,1074.3,Found,2002,"(19.84203, 57.00747)"
442,Al Huqf 009,39.83,Found,2002,"(19.8423, 57.00013)"
443,Al Huqf 010,41539.3,Found,2002,"(19.86785, 57.0028)"
444,Al Huqf 011,8056,Found,2002,"(19.86607, 57.0032)"
